Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
51,Providence College,3.57,Bachelors,Providence,N/A,N/A,1,0,0,Data Scientist,10/15,01/16,N/A,N/A,N/A,N/A,N/A,N/A,1.97,0
52,Providence College,2.22,Phd,Providence,F,1,0,N/A,2,Data Scientist,04/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,1.19,1
53,Providence College,2.71,Bachelors,Providence,N/A,N/A,0,1,0,Data Scientist,08/21,08/23,N/A,N/A,N/A,N/A,N/A,N/A,9.42,0
54,Providence College,3.96,Phd,Providence,M,1,1,1,1,Data Scientist,09/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,9.29,0
55,Providence College,3.59,Bachelors,Providence,M,N/A,0,1,4,Data Scientist,03/16,01/18,N/A,N/A,N/A,N/A,N/A,N/A,5.69,1
56,Providence College,2.99,Masters,Providence,N/A,N/A,0,0,2,Data Scientist,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,7.73,0
57,Providence College,2.68,Masters,Providence,M,1,0,N/A,1,Data Scientist,03/16,03/18,N/A,N/A,N/A,N/A,N/A,N/A,9.25,1
58,Providence College,3.74,Bachelors,Providence,N/A,N/A,1,1,0,Data Scientist,07/15,03/16,N/A,N/A,N/A,N/A,N/A,N/A,4.0,0
59,Providence College,3.09,Masters,Providence,M,N/A,1,N/A,3,Data Scientist,05/17,12/17,N/A,N/A,N/A,N/A,N/A,N/A,3.4,0
60,Providence College,3.52,Phd,Providence,N/A,0,0,N/A,1,Data Scientist,12/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,1.9,0
61,Providence College,3.51,Bachelors,Providence,N/A,1,0,0,3,Data Scientist,11/19,02/20,N/A,N/A,N/A,N/A,N/A,N/A,1.34,0
62,Providence College,2.04,Phd,Providence,N/A,1,1,1,3,Data Scientist,12/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,9.75,0
63,Providence College,2.25,Bachelors,Providence,M,0,0,N/A,2,Data Scientist,05/14,07/14,N/A,N/A,N/A,N/A,N/A,N/A,6.32,1
64,Providence College,3.32,Masters,Providence,N/A,1,1,1,4,Data Scientist,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A,8.71,0
65,Providence College,2.32,Phd,Providence,N/A,0,1,1,0,Data Scientist,02/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,7.1,0
66,Providence College,2.51,Masters,Providence,F,1,1,1,0,Data Scientist,02/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A,1.88,0
67,Providence College,3.89,Masters,Providence,F,1,1,N/A,1,Data Scientist,11/21,06/23,N/A,N/A,N/A,N/A,N/A,N/A,9.36,1
68,Providence College,3.12,Bachelors,Providence,N/A,1,1,0,0,Data Scientist,02/14,04/14,N/A,N/A,N/A,N/A,N/A,N/A,7.18,0
69,Providence College,3.5,Phd,Providence,F,1,1,0,2,Data Scientist,03/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,3.0,0
70,Providence College,3.12,Masters,Providence,N/A,0,1,N/A,0,Data Scientist,07/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,4.08,0
71,Providence College,3.11,Bachelors,Providence,F,0,0,1,1,Data Scientist,06/20,10/20,N/A,N/A,N/A,N/A,N/A,N/A,3.44,1
72,Providence College,2.19,Bachelors,Providence,M,1,1,1,0,Data Scientist,02/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,3.91,0
73,Providence College,2.69,Bachelors,Providence,M,N/A,0,0,4,Data Scientist,09/15,03/16,N/A,N/A,N/A,N/A,N/A,N/A,6.17,0
74,Providence College,2.56,Masters,Providence,N/A,0,0,N/A,3,Data Scientist,08/18,07/20,N/A,N/A,N/A,N/A,N/A,N/A,7.31,0
75,Providence College,2.78,Bachelors,Providence,N/A,1,0,N/A,3,Data Scientist,02/17,05/18,N/A,N/A,N/A,N/A,N/A,N/A,9.61,0
76,Providence College,3.6,Phd,Providence,M,0,1,0,3,Data Scientist,10/16,09/18,N/A,N/A,N/A,N/A,N/A,N/A,10.0,0
77,Providence College,2.74,Phd,Providence,M,N/A,0,N/A,4,Data Scientist,10/21,03/22,N/A,N/A,N/A,N/A,N/A,N/A,6.88,0
78,Providence College,2.9,Masters,Providence,F,N/A,1,N/A,2,Data Scientist,12/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A,1.09,1
79,Providence College,2.79,Phd,Providence,N/A,N/A,1,0,1,Data Scientist,08/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,6.49,0
80,Providence College,2.19,Bachelors,Providence,M,1,0,0,4,Data Scientist,11/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,4.02,0
81,Providence College,2.88,Masters,Providence,M,1,0,N/A,1,Data Scientist,03/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,3.65,1
82,Providence College,2.39,Bachelors,Providence,N/A,N/A,0,N/A,2,Data Scientist,10/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,8.51,0
83,Providence College,2.37,Masters,Providence,F,0,0,0,4,Data Scientist,11/18,06/20,N/A,N/A,N/A,N/A,N/A,N/A,5.15,1
84,Providence College,2.19,Masters,Providence,F,0,1,0,0,Data Scientist,09/21,08/23,N/A,N/A,N/A,N/A,N/A,N/A,3.11,1
85,Providence College,2.71,Bachelors,Providence,F,N/A,0,1,2,Data Scientist,12/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,1.58,0
86,Providence College,3.51,Phd,Providence,F,1,0,N/A,3,Data Scientist,06/16,01/17,N/A,N/A,N/A,N/A,N/A,N/A,8.77,1
87,Providence College,2.55,Phd,Providence,M,0,0,N/A,4,Data Scientist,06/21,07/23,N/A,N/A,N/A,N/A,N/A,N/A,3.51,0
88,Providence College,2.62,Masters,Providence,N/A,0,0,0,2,Data Scientist,07/17,04/19,N/A,N/A,N/A,N/A,N/A,N/A,5.0,0
89,Providence College,3.29,Bachelors,Providence,N/A,0,0,0,2,Data Scientist,06/18,06/19,N/A,N/A,N/A,N/A,N/A,N/A,1.07,0
90,Providence College,2.39,Bachelors,Providence,M,1,1,1,4,Data Scientist,09/19,02/20,N/A,N/A,N/A,N/A,N/A,N/A,6.21,1
91,Providence College,3.79,Masters,Providence,M,N/A,1,1,3,Data Scientist,04/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A,6.52,1
92,Providence College,3.04,Phd,Providence,M,1,1,0,3,Data Scientist,02/18,07/18,N/A,N/A,N/A,N/A,N/A,N/A,3.99,1
93,Providence College,2.9,Bachelors,Providence,N/A,0,0,N/A,2,Data Scientist,03/19,08/20,N/A,N/A,N/A,N/A,N/A,N/A,6.39,0
94,Providence College,3.12,Phd,Providence,N/A,N/A,0,1,1,Data Scientist,06/21,02/22,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0
95,Providence College,2.33,Phd,Providence,N/A,1,1,0,2,Data Scientist,02/14,04/15,N/A,N/A,N/A,N/A,N/A,N/A,8.19,0
96,Providence College,3.23,Masters,Providence,F,N/A,1,0,4,Data Scientist,05/20,02/21,N/A,N/A,N/A,N/A,N/A,N/A,4.73,1
97,Providence College,2.73,Masters,Providence,M,0,1,0,4,Data Scientist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,3.59,0
98,Providence College,3.79,Phd,Providence,M,1,1,N/A,4,Data Scientist,12/15,02/17,N/A,N/A,N/A,N/A,N/A,N/A,9.39,0
99,Providence College,2.34,Bachelors,Providence,M,N/A,0,0,3,Data Scientist,03/14,02/15,N/A,N/A,N/A,N/A,N/A,N/A,2.69,1
100,Providence College,3.01,Bachelors,Providence,N/A,1,0,0,0,Data Scientist,06/16,10/16,N/A,N/A,N/A,N/A,N/A,N/A,8.65,0
101,Providence College,3.2,Masters,Providence,M,0,0,N/A,4,Data Scientist,03/21,06/21,N/A,N/A,N/A,N/A,N/A,N/A,5.48,1
102,Providence College,2.07,Phd,Providence,M,N/A,1,0,4,Data Scientist,09/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A,2.24,1
103,Providence College,2.73,Bachelors,Providence,F,0,1,0,1,Data Scientist,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,6.95,0
104,Providence College,3.47,Bachelors,Providence,N/A,N/A,1,1,1,Data Scientist,01/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A,9.5,0
105,Providence College,3.64,Masters,Providence,M,0,0,0,2,Data Scientist,02/18,04/19,N/A,N/A,N/A,N/A,N/A,N/A,2.21,1
106,Providence College,2.63,Phd,Providence,N/A,0,0,N/A,2,Data Scientist,08/17,02/18,N/A,N/A,N/A,N/A,N/A,N/A,8.23,0
107,Providence College,3.6,Bachelors,Providence,N/A,1,1,1,2,Data Scientist,12/18,05/20,N/A,N/A,N/A,N/A,N/A,N/A,2.54,0
108,Providence College,3.94,Masters,Providence,N/A,0,0,0,4,Data Scientist,12/15,07/17,N/A,N/A,N/A,N/A,N/A,N/A,3.56,0
109,Providence College,3.71,Bachelors,Providence,F,1,1,N/A,1,Data Scientist,11/20,04/22,N/A,N/A,N/A,N/A,N/A,N/A,5.29,1
110,Providence College,2.24,Bachelors,Providence,N/A,0,1,0,2,Data Scientist,04/16,09/16,N/A,N/A,N/A,N/A,N/A,N/A,3.02,0
111,Providence College,3.48,Bachelors,Providence,N/A,0,1,1,1,Data Scientist,03/17,08/17,N/A,N/A,N/A,N/A,N/A,N/A,8.04,0
112,Providence College,2.64,Masters,Providence,N/A,0,0,N/A,4,Data Scientist,09/19,07/20,N/A,N/A,N/A,N/A,N/A,N/A,0.18,0
113,Providence College,3.98,Phd,Providence,M,N/A,1,1,4,Data Scientist,05/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,6.05,0
114,Providence College,2.97,Masters,Providence,F,1,1,N/A,2,Data Scientist,11/16,11/17,N/A,N/A,N/A,N/A,N/A,N/A,2.21,0
115,Providence College,2.24,Phd,Providence,M,N/A,0,N/A,4,Data Scientist,10/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,9.21,1
116,Providence College,3.45,Bachelors,Providence,F,1,1,0,4,Data Scientist,02/17,04/18,N/A,N/A,N/A,N/A,N/A,N/A,7.4,0
117,Providence College,2.65,Phd,Providence,F,0,1,N/A,1,Data Scientist,06/15,10/15,N/A,N/A,N/A,N/A,N/A,N/A,0.01,1
118,Providence College,3.99,Bachelors,Providence,N/A,N/A,0,N/A,0,Data Scientist,08/21,05/23,N/A,N/A,N/A,N/A,N/A,N/A,1.76,0
119,Providence College,3.96,Bachelors,Providence,N/A,1,1,0,3,Data Scientist,11/21,09/22,N/A,N/A,N/A,N/A,N/A,N/A,6.68,0
120,Providence College,3.31,Masters,Providence,M,0,1,N/A,2,Data Scientist,10/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,2.03,0
121,Providence College,2.26,Bachelors,Providence,F,1,1,N/A,0,Data Scientist,08/14,06/15,N/A,N/A,N/A,N/A,N/A,N/A,6.48,0
122,Providence College,3.37,Masters,Providence,N/A,1,0,N/A,2,Data Scientist,06/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,7.87,0
123,Providence College,2.19,Phd,Providence,N/A,0,1,N/A,0,Data Scientist,06/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,6.93,0
124,Providence College,2.06,Phd,Providence,N/A,N/A,1,0,4,Data Scientist,03/14,10/14,N/A,N/A,N/A,N/A,N/A,N/A,2.41,0
125,Providence College,3.65,Bachelors,Providence,N/A,0,1,0,2,Data Scientist,08/19,11/19,N/A,N/A,N/A,N/A,N/A,N/A,8.83,0
126,Providence College,2.42,Masters,Providence,M,N/A,0,1,0,Data Scientist,12/15,05/17,N/A,N/A,N/A,N/A,N/A,N/A,4.65,0
127,Providence College,2.76,Bachelors,Providence,M,1,0,N/A,3,Data Scientist,05/16,11/17,N/A,N/A,N/A,N/A,N/A,N/A,4.66,0
128,Providence College,3.95,Masters,Providence,N/A,1,0,0,4,Data Scientist,09/14,09/16,N/A,N/A,N/A,N/A,N/A,N/A,1.56,0
129,Providence College,2.67,Masters,Providence,N/A,1,1,N/A,2,Data Scientist,01/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,3.11,0
130,Providence College,2.59,Masters,Providence,N/A,N/A,0,0,2,Data Scientist,08/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A,3.45,0
131,Providence College,3.84,Phd,Providence,N/A,0,1,1,0,Data Scientist,10/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A,4.53,0
132,Providence College,2.22,Masters,Providence,N/A,N/A,0,N/A,2,Data Scientist,01/16,07/16,N/A,N/A,N/A,N/A,N/A,N/A,0.87,0
133,Providence College,3.52,Phd,Providence,F,1,0,1,4,Data Scientist,09/17,04/19,N/A,N/A,N/A,N/A,N/A,N/A,7.41,0
134,Providence College,3.98,Masters,Providence,F,1,0,1,1,Data Scientist,03/14,11/15,N/A,N/A,N/A,N/A,N/A,N/A,1.32,0
135,Providence College,3.8,Phd,Providence,F,0,0,1,0,Data Scientist,12/19,03/20,N/A,N/A,N/A,N/A,N/A,N/A,8.15,0
136,Providence College,3.3,Phd,Providence,F,N/A,1,0,3,Data Scientist,12/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,8.18,1
137,Providence College,2.63,Phd,Providence,N/A,1,0,N/A,2,Data Scientist,03/19,11/19,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0
138,Providence College,2.51,Bachelors,Providence,F,N/A,1,0,4,Data Scientist,03/14,01/16,N/A,N/A,N/A,N/A,N/A,N/A,6.77,0
139,Providence College,3.64,Masters,Providence,F,N/A,1,0,2,Data Scientist,10/16,04/18,N/A,N/A,N/A,N/A,N/A,N/A,8.32,1
140,Providence College,3.76,Bachelors,Providence,M,0,1,N/A,3,Data Scientist,06/15,07/16,N/A,N/A,N/A,N/A,N/A,N/A,0.99,1
141,Providence College,3.05,Masters,Providence,F,0,0,N/A,4,Data Scientist,02/21,06/21,N/A,N/A,N/A,N/A,N/A,N/A,3.95,1
142,Providence College,2.49,Masters,Providence,F,1,0,N/A,3,Data Scientist,04/20,07/20,N/A,N/A,N/A,N/A,N/A,N/A,1.59,1
143,Providence College,2.23,Bachelors,Providence,N/A,0,1,N/A,4,Data Scientist,11/16,09/17,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0
144,Providence College,2.17,Phd,Providence,F,N/A,0,0,1,Data Scientist,09/15,07/16,N/A,N/A,N/A,N/A,N/A,N/A,7.21,0
145,Providence College,3.44,Masters,Providence,F,0,1,N/A,4,Data Scientist,10/14,09/16,N/A,N/A,N/A,N/A,N/A,N/A,6.34,0
146,Providence College,2.84,Phd,Providence,N/A,N/A,0,N/A,3,Data Scientist,12/14,12/16,N/A,N/A,N/A,N/A,N/A,N/A,6.84,0
147,Providence College,3.81,Bachelors,Providence,F,1,0,N/A,0,Data Scientist,07/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,3.15,0
148,Providence College,3.48,Phd,Providence,N/A,N/A,1,1,1,Data Scientist,03/18,02/19,N/A,N/A,N/A,N/A,N/A,N/A,9.89,0
149,Providence College,2.38,Masters,Providence,F,0,0,N/A,2,Data Scientist,12/15,03/16,N/A,N/A,N/A,N/A,N/A,N/A,5.8,1
150,Providence College,3.23,Masters,Providence,M,0,1,N/A,1,Data Scientist,05/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A,7.43,1
151,Providence College,2.87,Masters,Providence,M,1,1,0,1,Data Scientist,09/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A,8.84,0
152,Providence College,3.15,Bachelors,Providence,F,0,0,1,2,Data Scientist,04/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,6.58,0
153,Providence College,3.48,Masters,Providence,M,1,0,0,4,Data Scientist,03/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,3.47,0
154,Providence College,3.61,Bachelors,Providence,N/A,1,0,1,1,Data Scientist,05/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,8.07,0
155,Providence College,3.69,Phd,Providence,F,0,1,0,1,Data Scientist,09/18,07/20,N/A,N/A,N/A,N/A,N/A,N/A,4.44,0
156,Providence College,2.51,Masters,Providence,N/A,N/A,0,0,0,Data Scientist,11/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,7.38,0
157,Providence College,2.06,Masters,Providence,M,1,0,N/A,0,Data Scientist,08/14,04/16,N/A,N/A,N/A,N/A,N/A,N/A,0.08,1
158,Providence College,3.48,Masters,Providence,N/A,N/A,0,N/A,3,Data Scientist,08/14,04/16,N/A,N/A,N/A,N/A,N/A,N/A,5.25,0
159,Providence College,2.21,Phd,Providence,M,0,0,1,2,Data Scientist,05/17,08/17,N/A,N/A,N/A,N/A,N/A,N/A,3.68,1
160,Providence College,2.63,Masters,Providence,M,N/A,1,1,4,Data Scientist,06/18,01/20,N/A,N/A,N/A,N/A,N/A,N/A,8.7,1
161,Providence College,2.01,Bachelors,Providence,M,N/A,0,1,4,Data Scientist,04/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,8.84,1
162,Providence College,3.36,Phd,Providence,N/A,N/A,1,N/A,3,Data Scientist,07/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0
163,Providence College,2.33,Phd,Providence,M,N/A,0,0,4,Data Scientist,08/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,1.38,1
164,Providence College,3.31,Phd,Providence,F,0,0,1,4,Data Scientist,11/14,07/16,N/A,N/A,N/A,N/A,N/A,N/A,5.63,0
165,Providence College,3.98,Phd,Providence,M,0,0,N/A,0,Data Scientist,12/21,10/22,N/A,N/A,N/A,N/A,N/A,N/A,0.89,1
166,Providence College,2.15,Phd,Providence,F,N/A,1,N/A,4,Data Scientist,04/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,8.31,1
167,Providence College,2.15,Bachelors,Providence,F,0,1,0,4,Data Scientist,08/19,04/20,N/A,N/A,N/A,N/A,N/A,N/A,0.58,1
168,Providence College,2.68,Phd,Providence,F,0,0,0,3,Data Scientist,07/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A,9.76,0
169,Providence College,3.73,Masters,Providence,F,1,1,N/A,3,Data Scientist,01/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,4.58,0
170,Providence College,2.43,Phd,Providence,N/A,0,1,0,1,Data Scientist,03/17,12/18,N/A,N/A,N/A,N/A,N/A,N/A,8.95,0
171,Providence College,2.72,Phd,Providence,F,N/A,0,0,4,Data Scientist,01/19,03/20,N/A,N/A,N/A,N/A,N/A,N/A,3.13,0
172,Providence College,2.14,Phd,Providence,M,0,0,N/A,4,Data Scientist,01/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,9.02,1
173,Providence College,3.53,Phd,Providence,F,0,0,1,4,Data Scientist,08/19,10/20,N/A,N/A,N/A,N/A,N/A,N/A,6.78,0
174,Providence College,2.82,Phd,Providence,M,0,0,1,0,Data Scientist,12/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,2.62,0
175,Providence College,3.52,Bachelors,Providence,N/A,0,0,N/A,4,Data Scientist,10/21,09/23,N/A,N/A,N/A,N/A,N/A,N/A,7.82,0
176,Providence College,3.81,Bachelors,Providence,F,1,0,1,0,Data Scientist,09/16,09/18,N/A,N/A,N/A,N/A,N/A,N/A,5.33,0
177,Providence College,2.47,Phd,Providence,M,N/A,1,N/A,1,Data Scientist,05/19,02/20,N/A,N/A,N/A,N/A,N/A,N/A,1.79,1
178,Providence College,3.61,Bachelors,Providence,N/A,N/A,0,N/A,2,Data Scientist,02/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,9.59,0
179,Providence College,2.12,Masters,Providence,N/A,0,0,0,4,Data Scientist,07/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,1.14,0
